Picture   Pixel No.      Alpha       Red         Green       Blue
BK           0 =         255           0         162         232
BK           1 =         255           0         162         232
BK           2 =         255           0         162         232
BK           3 =         255           0         162         232
BK           4 =         255           0         162         232
BK           5 =         255           0         162         232
BK           6 =         255           0         162         232
BK           7 =         255           0         162         232
BK           8 =         255           0         162         232
BK           9 =         255           0         162         232
BK          10 =         255           0         162         232
GS          11 =         255         237          28          36
GS          12 =         255         237          28          36
GS          13 =         255         237          28          36
GS          14 =         255         237          28          36
GS          15 =         255         237          28          36
GS          16 =         255         237          28          36
GS          17 =         255         237          28          36
GS          18 =         255         237          28          36
GS          19 =         255         237          28          36
GS          20 =         255         237          28          36
GS          21 =         255         237          28          36
GS          22 =         255         237          28          36
GS          23 =         255         237          28          36
GS          24 =         255         237          28          36
GS          25 =         255         237          28          36
GS          26 =         255         237          28          36
GS          27 =         255         237          28          36
GS          28 =         255         237          28          36
GS          29 =         255         237          28          36
BK          30 =         255           0         162         232
BK          31 =         255           0         162         232
BK          32 =         255           0         162         232
BK          33 =         255           0         162         232
BK          34 =         255           0         162         232
BK          35 =         255           0         162         232
BK          36 =         255           0         162         232
BK          37 =         255           0         162         232
BK          38 =         255           0         162         232
BK          39 =         255           0         162         232
BK          40 =         255           0         162         232
GS          41 =         255         237          28          36
GS          42 =         255         237          28          36
GS          43 =         255         237          28          36
GS          44 =         255         237          28          36
GS          45 =         255         237          28          36
GS          46 =         255         237          28          36
GS          47 =         255         237          28          36
GS          48 =         255         237          28          36
GS          49 =         255         237          28          36
GS          50 =         255         237          28          36
GS          51 =         255         237          28          36
GS          52 =         255         237          28          36
GS          53 =         255         237          28          36
GS          54 =         255         237          28          36
GS          55 =         255         237          28          36
GS          56 =         255         237          28          36
GS          57 =         255         237          28          36
GS          58 =         255         237          28          36
GS          59 =         255         237          28          36
BK          60 =         255           0         162         232
BK          61 =         255           0         162         232
BK          62 =         255           0         162         232
BK          63 =         255           0         162         232
BK          64 =         255           0         162         232
BK          65 =         255           0         162         232
BK          66 =         255           0         162         232
BK          67 =         255           0         162         232
BK          68 =         255           0         162         232
BK          69 =         255           0         162         232
BK          70 =         255           0         162         232
GS          71 =         255         237          28          36
GS          72 =         255         237          28          36
GS          73 =         255         237          28          36
GS          74 =         255         237          28          36
GS          75 =         255         237          28          36
GS          76 =         255         237          28          36
GS          77 =         255         237          28          36
GS          78 =         255         237          28          36
GS          79 =         255         237          28          36
GS          80 =         255         237          28          36
GS          81 =         255         237          28          36
GS          82 =         255         237          28          36
GS          83 =         255         237          28          36
GS          84 =         255         237          28          36
GS          85 =         255         237          28          36
GS          86 =         255         237          28          36
GS          87 =         255         237          28          36
GS          88 =         255         237          28          36
GS          89 =         255         237          28          36
BK          90 =         255           0         162         232
BK          91 =         255           0         162         232
BK          92 =         255           0         162         232
BK          93 =         255           0         162         232
BK          94 =         255           0         162         232
BK          95 =         255           0         162         232
BK          96 =         255           0         162         232
BK          97 =         255           0         162         232
BK          98 =         255           0         162         232
BK          99 =         255           0         162         232
BK         100 =         255           0         162         232
GS         101 =         255         237          28          36
GS         102 =         255         237          28          36
GS         103 =         255         237          28          36
GS         104 =         255         237          28          36
GS         105 =         255         237          28          36
GS         106 =         255         237          28          36
GS         107 =         255         237          28          36
GS         108 =         255         237          28          36
GS         109 =         255         237          28          36
GS         110 =         255         237          28          36
GS         111 =         255         237          28          36
GS         112 =         255         237          28          36
GS         113 =         255         237          28          36
GS         114 =         255         237          28          36
GS         115 =         255         237          28          36
GS         116 =         255         237          28          36
GS         117 =         255         237          28          36
GS         118 =         255         237          28          36
GS         119 =         255         237          28          36
BK         120 =         255           0         162         232
BK         121 =         255           0         162         232
BK         122 =         255           0         162         232
BK         123 =         255           0         162         232
BK         124 =         255           0         162         232
BK         125 =         255           0         162         232
BK         126 =         255           0         162         232
BK         127 =         255           0         162         232
BK         128 =         255           0         162         232
BK         129 =         255           0         162         232
BK         130 =         255           0         162         232
GS         131 =         255         237          28          36
GS         132 =         255         237          28          36
GS         133 =         255         237          28          36
GS         134 =         255         237          28          36
GS         135 =         255         237          28          36
GS         136 =         255         237          28          36
GS         137 =         255         237          28          36
GS         138 =         255         237          28          36
GS         139 =         255         237          28          36
GS         140 =         255         237          28          36
GS         141 =         255         237          28          36
GS         142 =         255         237          28          36
GS         143 =         255         237          28          36
